,SPECOBJID,RA,DEC
455,b'    452682436254394368',27.421918,-0.79944177
456,b'    452734113300899840',28.025943,1.2554334
457,b'    452773695719499776',28.130113,0.022402362
458,b'    453856715981481984',29.013996,0.36442599
459,b'    453875132801247232',29.433382,0.78602603
460,b'    454869914956621824',32.970184,-0.69382732
461,b'    454951828572891136',30.612775,0.96627063
462,b'    454957326131030016',30.403693,0.57916122
463,b'    454999932206606336',31.264983,0.1543248
464,b'    455035666334509056',33.0321,0.44774749
465,b'    454871290436675584',32.970184,-0.69382732
466,b'    454954303564572672',30.612775,0.96627063
467,b'    454959801122711552',30.403693,0.57916122
468,b'    454999658419218432',31.264983,0.1543248
469,b'    455032918645958656',32.689956,0.99161469
470,b'    456034297837545472',33.579694,-0.63463656
471,b'    456061510750332928',32.58859,-0.67213865
472,b'    456136277541021696',33.764445,0.88280693
473,b'    456162940697995264',34.743958,0.1232957
474,b'    457151676546050048',36.112444,-0.71012928
475,b'    457157998737909760',35.892609,0.079222066
476,b'    457225068947204096',35.150014,0.38605254
477,b'    457152227174279168',36.112444,-0.71012928
478,b'    457158549366138880',35.892609,0.079222066
479,b'    457225069937059840',35.150014,0.38605254
480,b'    457152227694372864',36.112444,-0.71012928
481,b'    457158549886232576',35.892609,0.079222066
482,b'    457159099642046464',35.926075,0.077443338
483,b'    457153332876699648',36.112444,-0.71012928
484,b'    457159105312745472',35.892609,0.079222066
485,b'    458305339171825664',37.578391,0.027302416
486,b'    458326504770660352',36.574013,-0.1756704
487,b'    458353992561354752',37.582297,1.2408019
488,b'    458402096195069952',38.521685,0.11257743
489,b'    458413091311347712',39.111512,0.54292354
490,b'    458417214479951872',38.755848,0.23485066
491,b'    459372964979173376',40.960857,-0.34221268
492,b'    459397978868705280',40.495725,-0.11720543
493,b'    459476868827998208',38.755848,0.23485066
494,b'    459493361502414848',39.958968,1.1985362
495,b'    460620636637652992',41.86297,0.61297412
496,b'    460647574672533504',42.695372,1.1530098
497,b'    461760004639188992',44.229919,0.4315614
498,b'    461766601708955648',44.006433,0.83828485
499,b'    461744612499810304',43.790845,1.1363622
500,b'    461758356395157504',44.229919,0.4315614
501,b'    461766327854458880',44.006433,0.83828485
502,b'    462827080690722816',44.798468,-0.91657578
503,b'    462828729958164480',44.580979,-0.66385875
504,b'    462861165551183872',45.570822,0.56051158
505,b'    462916690888386560',46.876103,0.76349169
